Name,Type
bonarda di pyemont,Red
bonarda du piemont,Red
bonarda nera,Red
bonarda nero,Red
driola,Red
kanaiolo krasnyi,Red
bonda,Red
bondola,Red
bistershna zhernina,Red
bistriska crnina,Red
blaustiel blau,Red
bonda,Red
bondola nera,Red
bondoletta,Red
brieger,Red
briegler,Red
bundula,Red
chailloche,Red
longobardo,Red
mohrenkoenig,Red
bondoletta,Red
bondola,Red
bonvedro,Red
bariadorgia,Red
bastardo,Red
bombedra,Red
bomogastro,Red
bomvedro,Red
bonifacienco,Red
bonifazino,Red
bonvedro,Red
bunifazinu,Red
cacagliola,Red
carcaghjoliu neru,Red
carcaghjolu neru,Red
carcagiola,Red
carcajiola,Red
carcajola noir,Red
carcajolo,Red
carcajolo nero,Red
carcajolo noir,Red
cargajola,Red
caricagiola,Red
espagnin,Red
espagnin noir,Red
false carignan,Red
lambrusco de alentejo,Red
marota,Red
monvedro,Red
monvedro,Red
monvedro de sines,Red
monvedro tinto,Red
morteira,Red
murteira,Red
paraletta,Red
parralada,Red
parraleta,Red
parreleta,Red
pau ferro,Red
ribote,Red
ribote,Red
salceno negro,Red
tinta caiada,Red
tinta da lameira,Red
tinta do lameiro,Red
tinta lameira,Red
tinta murteira,Red
tintorro,Red
torres d'algarve,Red
borba,Red
borracal,Red
azedo,Red
bagalhal,Red
bogalhal,Red
borraco,Red
borrasao,Red
bougalhal,Red
bovvaco,Red
cachino,Red
cainho gordo,Red
cainho grande,Red
cainho grosso,Red
caino del pais,Red
caino gordo,Red
caino redondo,Red
caino tinto,Red
esfarrapa,Red
esfarrapas,Red
espadeiro redondo,Red
morraca,Red
murracal,Red
oil de chapaud,Red
olho de sapo,Red
tinta femia,Red
tinta femia de aldan,Red
tinto redondo,Red
bouchalès,Red
aubet,Red
bouchales a buzet,Red
bouchales chedy,Red
bouchalets,Red
bouchares,Red
bouchedey,Red
boucheres,Red
bouissalet,Red
bouscales,Red
bouscares,Red
bouyssalet,Red
capbreton rouge,Red
cayla,Red
crapput,Red
craput,Red
cujas,Red
esparbasque,Red
grappu,Red
grappu de la dordogne,Red
grapput,Red
gros bouchales,Red
gros bouchares,Red
gros de judith,Red
gros grappu,Red
gros marthy,Red
gros marty,Red
gros maure,Red
gros mol,Red
jeanjean,Red
negrasse,Red
picardan,Red
picardan noir,Red
piquardan,Red
plant touzan,Red
prolongeau,Red
prueyras,Red
queuefort,Red
toussan,Red
touzan,Red
bourrisquou,Red
bourrignou,Red
bourriscou,Red
bourrisquou de romanet,Red
bourrisquou de romani,Red
mourrisquou de romani,Red
romanet,Red
bouteillan noir,Red
bouteillan a gros grain,Red
boutelion noir,Red
caian,Red
callion nero,Red
cargomuou,Red
cayau,Red
esfouiral,Red
esfouiras de roquemaure,Red
fouiral,Red
mentone,Red
moulas,Red
petit bouteillan,Red
plant de psalmodi,Red
psalmodi noir,Red
psalmody,Red
quagliana,Red
quagliano nero,Red
quaian,Red
quajan,Red
quagliano,Red
qualiano,Red
sigotier,Red
sigoyer,Red
bovale grande,Red
bova murru,Red
bovale,Red
bovale di spagna,Red
bovale grosso,Red
bovale mannu,Red
bovale murru,Red
bovali mannu,Red
maraiola maggiore,Red
mostaia,Red
nieddera,Red
tintarella,Red
tintiglia,Red
tintilia,Red
tintillosa,Red
tintillu,Red
tintirella,Red
zinzillosa,Red
bovale sardo,Red
graciano,Red
alicante,Red
bastardo nero,Red
bois dur,Red
bordelais,Red
bovale,Red
bovale piccolo,Red
bovale piticco,Red
bovaleddo,Red
bovaleddu,Red
bovali mannu,Red
bualeddu,Red
cadelanisca,Red
cagliunari,Red
cagniulari,Red
cagnolari nero,Red
cagnonale,Red
cagnorali nero,Red
cagnovali,Red
cagnovali nero,Red
cagnulari,Red
cagnulari bastardo,Red
cagnulari sardo,Red
cagnulatu,Red
calda reio,Red
caldareddhu,Red
caldareddu,Red
caldarello,Red
cardanissia,Red
cardinissia,Red
cargo muol,Red
carrixa,Red
casca,Red
cendron,Red
charge mulet,Red
courouillade,Red
couthurier,Red
couturier,Red
drug,Red
enfarine,Red
graciana,Red
graciano 15-5,Red
graciano tinto,Red
gros negrette,Red
grosse negrette,Red
himrisnky,Red
jerusano,Red
karis,Red
marastel,Red
maristeddo,Red
matarou,Red
materou,Red
minostello,Red
minustello,Red
minustellu,Red
minustillu,Red
monastel,Red
monasteou,Red
monaster,Red
monastrel,Red
monastrell menudo,Red
monastrell verdadero,Red
monestaou,Red
monestel,Red
moraiola minore,Red
morastel,Red
morastell,Red
morestel,Red
moristell,Red
morrastel,Red
morrastel tantot,Red
moura,Red
mourastel,Red
mouroustel,Red
mourrastel,Red
murastellu,Red
muristeddo,Red
muristeddu,Red
muristellu,Red
negrette de montauban,Red
negrette de pays,Red
nieddu prunizza,Red
perpignan,Red
perpignanou bois dur,Red
perpigne,Red
plant de ledenon,Red
tanat gris,Red
tannat bordelais,Red
tannat gris,Red
tinta,Red
tinta de fontes,Red
tinta do padre antonio,Red
tinta fontes,Red
tinta mencida,Red
tinta menuda,Red
tinta miuda,Red
tinta miuda de fontes,Red
tintilho,Red
tintilla,Red
tintilla de rota,Red
tintillo,Red
tintillo alicante,Red
tinto,Red
torrentes,Red
uva cagnelata,Red
verdadero,Red
xeres,Red
xerez,Red
zinzillosa,Red
bracciola nera,Red
barciuola,Red
bracciola,Red
bracciula,Red
bracciuola,Red
braciola,Red
braciuola,Red
brassola,Red
brassora,Red
brazolata,Red
rappalunga,Red
brachetto del piemonte,Red
brachetto,Red
borgogna,Red
bracchetto,Red
bracelet,Red
brachet de nice,Red
brachetto d' acqui,Red
brachetto d'alexandrie,Red
brachetto di acqui,Red
brachetto di montabone,Red
brachetto du piemont,Red
braquet des jardins,Red
calitor,Red
moscato nero,Red
brancellao,Red
alvarelhao,Red
albarello,Red
alvaralhao,Red
alvarelhao de pe branco,Red
alvarelhao de vara branca,Red
alvarelho,Red
alvarellao,Red
alvarello,Red
alvarello gallego,Red
alvarelo,Red
alvarelyo,Red
avarilhao,Red
brancelhao,Red
brancelho,Red
brancello,Red
brencellao,Red
broncellao,Red
locaia,Red
pilongo,Red
pirrauvo,Red
pirruivo,Red
serradelo,Red
serradillo,Red
uva gallega,Red
uva negra,Red
varancelha,Red
verancelha,Red
braquet noir,Red
brachet,Red
brachetto,Red
bracke,Red
braquet,Red
bruquet,Red
calito du languedoc,Red
canseron,Red
brugnola,Red
brujidera,Red
marufo,Red
abrunhal,Red
barrete de padre,Red
brujidero,Red
brujiguero,Red
colgadera,Red
crujideiro,Red
crujidera,Red
crujidero di spagna,Red
falso mourisco,Red
lagrima noir,Red
lamego,Red
lobo,Red
malvasia,Red
marouco,Red
marufa,Red
marufo roxo,Red
marujo,Red
moravia dulce,Red
morisco tinto,Red
morocco,Red
mourico,Red
mourisca,Red
mourisco,Red
mourisco du douro,Red
mourisco nos vinhos verdes,Red
mourisco preto,Red
mourisco roxo,Red
mourisco tinto,Red
olho de rei,Red
rucial,Red
tinta amarela grossa,Red
tinta do caramelo,Red
tinta grossa,Red
trujidera,Red
trujidero,Red
uva de rei,Red
uva rei,Red
brun argenté,Red
arzhente,Red
bakarezo,Red
bryun,Red
camarese,Red
camareze,Red
camarezo,Red
cameres du gard,Red
kamaredyu gard,Red
kamarez,Red
madeleine,Red
vacarese,Red
vacareze blanc,Red
vaccarese,Red
vaccareso,Red
vaccareze,Red
vakarez,Red
brun fourca,Red
brun d'aureol,Red
brun d'auriol,Red
brun de farnous,Red
brun farnous,Red
brun fourcat,Red
brun tourcae,Red
brunfourka,Red
caula,Red
caula noir de vaucluse,Red
farnous,Red
floura,Red
flouron,Red
gros taulier,Red
manconnet,Red
morrastel fleuri,Red
morrastel flourat,Red
moulan,Red
moulard,Red
moulau,Red
mourastel flourat,Red
moureau,Red
mourrastel fleuri,Red
mourrastel floura,Red
mourrastel flourat,Red
mouzeau,Red
mulon,Red
plant de bordeaux,Red
plant francais,Red
tinto gallego,Red
brunal,Red
alfrocheiro,Red
albarin frances,Red
albarin negrin,Red
albarin negro,Red
albarin tinto,Red
albarinon,Red
alfrocheiro preto,Red
alfrucheiro,Red
alfurcheiro,Red
baboso negro,Red
bastardo negro,Red
caino gordo,Red
tinta bastardinha,Red
tinta francesa de viseu,Red
tinta francisca de viseu,Red
tinto serodo,Red
brunello,Red
sangiovese,Red
brunelletto,Red
brunello di montalcino,Red
calabrese,Red
cardisco,Red
chiantino,Red
cordisio,Red
cuocignola,Red
gabba cani,Red
guarnacciola,Red
ingannacane,Red
lacrima,Red
lakhdari,Red
lambrusco,Red
lambrusco mendoza,Red
maglioppa,Red
montepulciano,Red
montepulciano primutico,Red
morellino,Red
morellino de florence,Red
morellino di scansano,Red
morellone,Red
moscatale,Red
moscatele,Red
negretta,Red
nerino,Red
nerino sanvicetro,Red
niella,Red
nielluccia,Red
nielluccio,Red
niellucciu,Red
pigniuolo rosso,Red
pignolo,Red
pignolo rosso,Red
pignuolo,Red
plant romain,Red
primaticcio,Red
prugnolino dolce,Red
prugnolo,Red
prugnolo di montepulciano,Red
prugnolo dolce,Red
prugnolo gentile,Red
prugnolo gentile di montepulciano,Red
prugnolo rosso,Red
san gioveto grosso,Red
san montanino,Red
san quioveto,Red
san roveto,Red
san zoveto,Red
sancivetro,Red
sangineto,Red
sangiogheto,Red
sangiovese crni,Red
sangiovese dal cannello lungo,Red
sangiovese dal cannello lungo di predappio,Red
sangiovese di lamole,Red
sangiovese di romagna,Red
sangiovese dolce,Red
sangiovese elba,Red
sangiovese gentile,Red
sangiovese grosso,Red
sangiovese nostrano,Red
sangiovese piccolo,Red
sangiovese piccolo precoce,Red
sangiovese romagnolo,Red
sangiovese toscano,Red
sangiovete,Red
sangioveto,Red
sangioveto dell'elba,Red
sangioveto dolce,Red
sangioveto grosso,Red
sangioveto montanino,Red
sanvincetro,Red
sanxhoveze,Red
sanzoveto,Red
tabernello,Red
tignolo,Red
tignolo sointovese,Red
tipsa,Red
toustain,Red
uva abruzzi,Red
uva canina,Red
uvetta,Red
bubbierasco,Red
buket,Red
bouquet,Red
bouket,Red
busuioaca de bohotin,Red
muscat a petits grains noirs,Red
black frontignan,Red
busuioaca,Red
busuioaca de bohotin,Red
busuioaca roza de bohotin,Red
busuoaca neagra,Red
caillaba,Red
caillaba noir,Red
cayabe,Red
caylor noir musque,Red
cerni muskat,Red
fekete muskotally,Red
frontignan black,Red
frontignan rot,Red
gaillaba,Red
gara muscat,Red
gara muskat,Red
jura black muscat,Red
kajyaba,Red
kayyaba,Red
mor muscateller,Red
moscatel galego,Red
moscatel negro,Red
moscatel tinto,Red
moscateller nigra,Red
moscatello nero,Red
moscato greco nero,Red
moscato nero,Red
moschato mavro,Red
muscat caillaba,Red
muscat calyaba,Red
muscat d'eisenstadt,Red
muscat de yura,Red
muscat du jura,Red
muscat gaillaba,Red
muscat kaillaba,Red
muscat mavro,Red
muscat modry,Red
muscat nero de spania,Red
muscat noir,Red
muscat noir a petits grains,Red
muscat noir d'eisenstadt,Red
muscat noir du jura,Red
muscat noir ordinaire,Red
muscat rouge,Red
muscat violet,Red
muscat violet de madeira,Red
muscat zerni,Red
muscateller,Red
muskat cerni,Red
muskat chernyi,Red
muskat chernyi kalyabskii,Red
muskat kalyaba,Red
muskat modry,Red
muskat modry malozrnny,Red
muskateller blau,Red
muskateller grau,Red
muskateller schwarz,Red
muskateller schwarzblau,Red
muskotally kek,Red
noir de thyra,Red
qara muskat,Red
rother frontignan,Red
schmeckende schwarz,Red
schwarze schmeckende,Red
schwarzer muskateller,Red
schwarzer weihrauch,Red
tamaioasa vanata de bohotin,Red
weihrauch schwarz,Red
caberinta,Red
gargiulo,Red
cabernet carbon,Red
freiburg,Red
cabernet carol,Red
freiburg,Red
cabernet colonjes,Red
valentin blattner,Red
cabernet cortis,Red
freiburg,Red
cabernet cubin,Red
weinsberg,Red
cabernet dorio,Red
weinsberg,Red
cabernet dorsa,Red
weinsberg,Red
cabernet franc,Red
acheria,Red
ardounet,Red
aroia,Red
arrouya,Red
auxquels,Red
baro,Red
beron,Red
bidure,Red
bordeaux,Red
bordo,Red
bordo magher,Red
boubet,Red
bouchet,Red
bouchet franc,Red
bouchet saint-emilion,Red
bouchy,Red
breton,Red
burdeas tinto,Red
cabernet,Red
cabernet aunis,Red
cabernet bresciano,Red
cabernet d'aunis,Red
cabernet franc blauer,Red
cabernet franc crni,Red
cabernet franc nero,Red
cabernet franc noir,Red
cabernet francese,Red
cabernet franco,Red
cabernet frank,Red
cabernet gris,Red
cabonet,Red
cabrunet,Red
capbreton,Red
capbreton rouge,Red
carbenet,Red
carbonet,Red
carbouet,Red
carmene,Red
carmenet,Red
carmenet grand,Red
carne fran,Red
couahort,Red
crouchen negre,Red
crouchen noir,Red
fer servadou,Red
fer servandou,Red
gamput,Red
gro kaberne,Red
gro vidyur,Red
gro vidyuz,Red
gros bouchet,Red
gros bouschet,Red
gros caberne,Red
gros cabernet,Red
gros vidure,Red
gros vidyuz,Red
grosse vidure,Red
hartling,Red
kaberne,Red
kaberne fran,Red
kaberne frank,Red
kabernet frank breton,Red
karmene,Red
messanges,Red
messanges rouge,Red
morenoa veron bouchy,Red
noir dur,Red
petit fer,Red
petit viodure,Red
petite vidure,Red
petite vignedure,Red
plan des sables,Red
plant breton,Red
plant de l'abbe breton,Red
qro kaberne,Red
qro vidyuz,Red
sable rouge,Red
trouchet,Red
trouchet noir,Red
tsapournako,Red
verdejilla tinto,Red
veron,Red
veron bouchy,Red
veronais,Red
vidure,Red
vuidure,Red
cabernet gernischt,Red
carmenere,Red
bordo,Red
bouton blanc,Red
caberne karmener,Red
cabernella,Red
cabernelle,Red
cabernet,Red
cabernet carmenere,Red
cabernet cosmo,Red
cabernet gernicht,Red
cabernet gernischet,Red
cabernet gerniseht,Red
cabernet grande,Red
cabernet grosso,Red
cabernet italico,Red
cabernet shelongzhu,Red
carbonet,Red
carbouet,Red
caremenelle,Red
carmenea,Red
carmenegre,Red
carmenelle,Red
carmeneyre,Red
gran vidyur,Red
grand carmenet,Red
grand vidure,Red
grande vidure,Red
grande vuidure,Red
grosse vidure,Red
kaberne,Red
kaberne karmener,Red
kabernel,Red
karmene,Red
karmensel,Red
uva francesca,Red
cabernet jura,Red
valentin blattner,Red
cabernet mitos,Red
weinsberg,Red
cabernet moravia,Red
cabernet pfeffer,Red
pfeffer cabernet,Red
cabernet sauvignon,Red
bidure,Red
bordaoux,Red
bordeaux,Red
bordo,Red
bouche,Red
bouchet,Red
bouchet sauvignon,Red
bourdeos tinto,Red
bouschet sauvignon,Red
breton,Red
burdeos tinto,Red
cabarnet sauvignon,Red
caberne,Red
caberne sovinion,Red
cabernet petit,Red
cabernet piccolo,Red
cabernet sauvignon black,Red
cabernet sauvignon blauer,Red
cabernet sauvignon cl r5,Red
cabernet sauvignon crni,Red
cabernet sauvignon nero,Red
cabernet sauvignon noir,Red
cabernet sauvignon petit,Red
carbonet,Red
carbouet,Red
carmenet,Red
castet,Red
dzanati,Red
enfin,Red
epicier noir,Red
kaberne sovinjon,Red
kaberne sovinon,Red
kaberne sovinyon,Red
kabernet suvinjon,Red
lafet,Red
lafit,Red
lafite,Red
marchoupet,Red
melkii chernyi,Red
menut,Red
navarre,Red
petit bouchet,Red
petit bouschet,Red
petit cabernet,Red
petit cavernet sauvignon,Red
petit vidure,Red
petit-bouchet,Red
petite parde,Red
petite vidure,Red
sauvignon,Red
sauvignon rouge,Red
sauvignonne,Red
vaucluse,Red
veron,Red
vidure,Red
vidure petite,Red
vidure sauvignon,Red
vidure sauvignonne,Red
cabernet severny,Red
kaberne severnyi,Red
cabernet severny,Red
cabernet severnyi,Red
cabernet szevernuej,Red
kaberne severnyi,Red
cabertin,Red
caddiu,Red
caddeo,Red
caddiu nieddu,Red
caddu,Red
niedda,Red
niedda perda serra,Red
perda,Red
serra,Red
cagnulari,Red
graciano,Red
alicante,Red
bastardo nero,Red
bois dur,Red
bordelais,Red
bovale,Red
bovale piccolo,Red
bovale piticco,Red
bovale sardo,Red
bovaleddo,Red
bovaleddu,Red
bovali mannu,Red
bualeddu,Red
cadelanisca,Red
cagliunari,Red
cagniulari,Red
cagnolari nero,Red
cagnonale,Red
cagnorali nero,Red
cagnovali,Red
cagnovali nero,Red
cagnulari,Red
cagnulari bastardo,Red
cagnulari sardo,Red
cagnulatu,Red
calda reio,Red
caldareddhu,Red
caldareddu,Red
caldarello,Red
cardanissia,Red
cardinissia,Red
cargo muol,Red
carrixa,Red
casca,Red
cendron,Red
charge mulet,Red
courouillade,Red
couthurier,Red
couturier,Red
drug,Red
enfarine,Red
graciana,Red
graciano 15-5,Red
graciano tinto,Red
gros negrette,Red
grosse negrette,Red
himrisnky,Red
jerusano,Red
karis,Red
marastel,Red
maristeddo,Red
matarou,Red
materou,Red
minostello,Red
minustello,Red
minustellu,Red
minustillu,Red
monastel,Red
monasteou,Red
monaster,Red
monastrel,Red
monastrell menudo,Red
monastrell verdadero,Red
monestaou,Red
monestel,Red
moraiola minore,Red
morastel,Red
morastell,Red
morestel,Red
moristell,Red
morrastel,Red
morrastel tantot,Red
moura,Red
mourastel,Red
mouroustel,Red
mourrastel,Red
murastellu,Red
muristeddo,Red
muristeddu,Red
muristellu,Red
negrette de montauban,Red
negrette de pays,Red
nieddu prunizza,Red
perpignan,Red
perpignanou bois dur,Red
perpigne,Red
plant de ledenon,Red
tanat gris,Red
tannat bordelais,Red
tannat gris,Red
tinta,Red
tinta de fontes,Red
tinta do padre antonio,Red
tinta fontes,Red
tinta mencida,Red
tinta menuda,Red
tinta miuda,Red
tinta miuda de fontes,Red
tintilho,Red
tintilla,Red
tintilla de rota,Red
tintillo,Red
tintillo alicante,Red
tinto,Red
torrentes,Red
uva cagnelata,Red
verdadero,Red
xeres,Red
xerez,Red
zinzillosa,Red
caino bravo,Red
amaral,Red
amaral preto,Red
azal,Red
azal preto,Red
azal tinto,Red
azar,Red
cachon,Red
cainho miudo,Red
caino,Red
caino bravo,Red
caino tinto,Red
cainzinho,Red
sousao,Red
sousao galego,Red
caiño tinto,Red
borracal azedo,Red
bagalhal,Red
bogalhal,Red
borraco,Red
borrasao,Red
bougalhal,Red
bovvaco,Red
cachino,Red
cainho gordo,Red
cainho grande,Red
cainho grosso,Red
caino del pais,Red
caino gordo,Red
caino redondo,Red
esfarrapa,Red
esfarrapas,Red
espadeiro redondo,Red
morraca,Red
murracal,Red
oil de chapaud,Red
olho de sapo,Red
tinta femia,Red
tinta femia de aldan,Red
tinto redondo,Red
calabrese,Red
alba de calabria,Red
calabrese cappuciu nero,Red
calabrese d'avola,Red
calabrese de calabria,Red
calabrese di noto,Red
calabrese dolce,Red
calabrese nero,Red
calabrese pittatello,Red
calabrese pizuto,Red
calabrese pizzutello,Red
calabrese pizzutello con la foglia rotonda,Red
calabrese pizzuto,Red
calabreser weiss,Red
calabria,Red
calabriai fekete,Red
calabrisi d'avola,Red
fekete calabriai,Red
kalabriai fekete,Red
nero d'avola,Red
raisin de calibre noir,Red
strugeri de calabria,Red
uva de calabria,Red
calabrese di montenuovo,Red
calabrese montenuovo,Red
nero d'avola,Red
sangiovese,Red
caladoc,Red
caladok,Red
kaladok,Red
calandro,Red
geilweilerhof,Red
calitor noir,Red
anglas,Red
assadoule bouvier,Red
binxeilla,Red
blavette,Red
calitor,Red
canseron,Red
cargo miola,Red
cargo muou,Red
catitor,Red
causeron,Red
causeroun,Red
charge mulet,Red
col tor,Red
colitor,Red
coulitor,Red
coytor,Red
dameron des vosges,Red
foirard,Red
foirat,Red
fouiraire,Red
fouiral,Red
fouirassan,Red
garriga,Red
marounvern,Red
mouillas,Red
noeuds-courts,Red
nou courte,Red
pampoul,Red
pecoui touar,Red
pecoui tovar,Red
picpoul de fronton,Red
picpoule sorbier,Red
piquepoul de fronton,Red
pride of australia,Red
qualitor,Red
ramonen,Red
rouget de salins,Red
rousselin,Red
rousselin noir,Red
rousset,Red
rouxal,Red
sang de boeuf,Red
saure,Red
sen zhan,Red
siege noir,Red
sigotier,Red
sigoyer,Red
tentyure artekskii,Red
touar,Red
çalkarası,Red
çal karası,Red
callet,Red
caloria,Red
camaraou noir,Red
caino redondo,Red
camaralet noir,Red
camaran,Red
camaras,Red
camarau,Red
camaraue rouge,Red
couxo,Red
gros noir,Red
kamarau,Red
mehrfarbiger camarau,Red
moustardet,Red
plant sauvage,Red
sparse menue,Red
camarate,Red
camarate tinto,Red
bairrada,Red
caccalho,Red
cascalho,Red
casculho,Red
castelao,Red
castelao da bairrada,Red
castelao de nosso,Red
castelao do nosso,Red
castelao nacional,Red
castelao nosso,Red
maroto,Red
morete,Red
moreto,Red
moreto de soure,Red
moreto do douro,Red
mortagua,Red
mortagua de vide preta,Red
mouro negro,Red
mureto,Red
negro mouro,Red
negru mouro,Red
camarese,Red
brun argente,Red
arzhente,Red
bakarezo,Red
bryun,Red
camarese,Red
camareze,Red
camarezo,Red
cameres du gard,Red
kamaredyu gard,Red
kamarez,Red
madeleine,Red
vacarese,Red
vacareze blanc,Red
vaccarese,Red
vaccareso,Red
vaccareze,Red
vakarez,Red
campbell early,Red
campbell,Red
campbell's early,Red
champbell early,Red
early campbell,Red
island belle,Red
canaiolo nero,Red
caccione nero,Red
cacciuna nera,Red
cagnina,Red
calabrese,Red
canaiola,Red
canaiolo,Red
canaiolo borghese,Red
canaiolo cascolo,Red
canaiolo colore,Red
canaiolo grosso,Red
canaiolo nero a raspo rosso,Red
canaiolo nero comune,Red
canaiolo nero grosso,Red
canaiolo nero minuto,Red
canaiolo pratese,Red
canaiolo romano,Red
canaiolo rosso piccolo,Red
canaiolo toscano,Red
canaiuola,Red
canaiuolo,Red
canajola lastri,Red
canajolo,Red
canajolo lastri,Red
canajolo nero grosso,Red
canajolo piccolo,Red
canajuola,Red
canajuolo nero comune,Red
canina,Red
cannaiola,Red
cannaiola di marta,Red
cannaiola macchie di marta,Red
cannajola,Red
colore,Red
colore canino,Red
san giovese,Red
tindillaro,Red
tindilloro,Red
uva canaiolo,Red
uva canajola,Red
uva canajuola,Red
uva canina,Red
uva colore canaiola,Red
uva dei cani,Red
uva donna,Red
uva fosca,Red
uva grossa,Red
uva marchigiana,Red
uva merla,Red
vitis vinifera etrusca,Red
canari noir,Red
balza,Red
batista,Red
blanchette rouge,Red
blanquette rouge,Red
boudales,Red
bourgogne,Red
caillaba,Red
canari,Red
canaril,Red
canarill,Red
carcasses,Red
cargo nalt,Red
cargonalt,Red
chalosse noire,Red
cot a queue verte,Red
cot vert du saumurois,Red
cotes vertes,Red
enfin,Red
errone de grolleau,Red
esquisse braguette,Red
folle noir de la vienne,Red
folle noire,Red
gamay de malain,Red
gamay malain,Red
grosse negrette,Red
luverdon,Red
oeil de chope,Red
ondane,Red
ondenc noir,Red
pinot gris,Red
pinot gris mendoza,Red
saint helene,Red
sainte-helene,Red
semis rouge,Red
ugne noir,Red
ugne noire,Red
canina nera,Red
canena,Red
canina,Red
canina crossa,Red
canina dal raspo,Red
canina di forli,Red
canina di lugo,Red
canina di ravenna,Red
canina picola lunga,Red
cannina,Red
uva canina,Red
cannamela,Red
carcajolo nero,Red
parraleta,Red
bariadorgia,Red
bastardo,Red
bombedra,Red
bomogastro,Red
bomvedro,Red
bonifacienco,Red
bonifazino,Red
bonvedro,Red
bunifazinu,Red
cacagliola,Red
carcaghjoliu neru,Red
carcaghjolu neru,Red
carcagiola,Red
carcajiola,Red
carcajola noir,Red
carcajolo,Red
carcajolo nero,Red
carcajolo noir,Red
cargajola,Red
caricagiola,Red
espagnin,Red
espagnin noir,Red
false carignan,Red
lambrusco de alentejo,Red
marota,Red
monvedro,Red
monvedro,Red
monvedro de sines,Red
monvedro tinto,Red
morteira,Red
murteira,Red
paraletta,Red
parralada,Red
parraleta,Red
parreleta,Red
pau ferro,Red
ribote,Red
ribote,Red
salceno negro,Red
tinta caiada,Red
tinta da lameira,Red
tinta do lameiro,Red
tinta lameira,Red
tinta murteira,Red
tintorro,Red
torres d'algarve,Red
caricagiola,Red
bonifaccenco,Red
bonifacenco,Red
bonifacengo,Red
bonifazina,Red
bonifazino,Red
carajolo noir,Red
carcaghjolu,Red
carcagiola,Red
carcajola,Red
cargajola,Red
caricagliola,Red
carjcagiola,Red
carricadolza,Red
garricadolza,Red
carignan,Red
carignan noir,Red
axina de spagna,Red
babonenc,Red
babounenc,Red
blaue shopatna,Red
blaue sopatna,Red
blauer carignan,Red
blauer carignant,Red
boi dur,Red
bois de fer,Red
bois dur,Red
bois dure,Red
bovale grande,Red
bovale grande di spagna,Red
bove duro,Red
bove duro di spagna,Red
cafalan,Red
cagnolaro,Red
cagnolaro tinto,Red
calignan,Red
carignan crni,Red
carignan frances,Red
carignan mouillan,Red
carignane,Red
carignane mouilla,Red
carignane noir,Red
carignane noire,Red
carignane violette,Red
carignanne,Red
carignano,Red
carignano di carmignano,Red
carignena,Red
carinena,Red
carinena mazuela,Red
carinena negra,Red
catalan,Red
cencibel,Red
crignane,Red
crinana,Red
crujillon,Red
crusillo,Red
girard,Red
girarde,Red
grenache du bois,Red
grenache du bois dur,Red
karignan,Red
karinian,Red
karinjan,Red
karinyan,Red
kek carignan,Red
legno duro,Red
legno duro di portoferraio,Red
manuelo tinto,Red
manzuela,Red
marocain,Red
mataro,Red
mazuela,Red
mazuelo,Red
mollard,Red
monestel,Red
mounesteou,Red
pinot d'evora,Red
pinot evara,Red
plant d'espagne,Red
plant de ledenon,Red
pokovec,Red
pokovez,Red
roussillonen,Red
samso,Red
samso crusillo,Red
sanso,Red
sopatna blau,Red
tinto mazuela,Red
uva di spagna,Red
carinena,Red
carignan noir,Red
axina de spagna,Red
babonenc,Red
babounenc,Red
blaue shopatna,Red
blaue sopatna,Red
blauer carignan,Red
blauer carignant,Red
boi dur,Red
bois de fer,Red
bois dur,Red
bois dure,Red
bovale grande,Red
bovale grande di spagna,Red
bove duro,Red
bove duro di spagna,Red
cafalan,Red
cagnolaro,Red
cagnolaro tinto,Red
calignan,Red
carignan,Red
carignan crni,Red
carignan frances,Red
carignan mouillan,Red
carignane,Red
carignane mouilla,Red
carignane noir,Red
carignane noire,Red
carignane violette,Red
carignanne,Red
carignano,Red
carignano di carmignano,Red
carignena,Red
carinena,Red
carinena mazuela,Red
carinena negra,Red
catalan,Red
cencibel,Red
crignane,Red
crinana,Red
crujillon,Red
crusillo,Red
girard,Red
girarde,Red
grenache du bois,Red
grenache du bois dur,Red
karignan,Red
karinian,Red
karinjan,Red
karinyan,Red
kek carignan,Red
legno duro,Red
legno duro di portoferraio,Red
manuelo tinto,Red
manzuela,Red
marocain,Red
mataro,Red
mazuela,Red
mazuelo,Red
mollard,Red
monestel,Red
mounesteou,Red
pinot d'evora,Red
pinot evara,Red
plant d'espagne,Red
plant de ledenon,Red
pokovec,Red
pokovez,Red
roussillonen,Red
samso,Red
samso crusillo,Red
sanso,Red
sopatna blau,Red
tinto mazuela,Red
uva di spagna,Red
carménère,Red
bordo,Red
bouton blanc,Red
caberne karmener,Red
cabernella,Red
cabernelle,Red
cabernet,Red
cabernet carmenere,Red
cabernet cosmo,Red
cabernet gernicht,Red
cabernet gernischet,Red
cabernet gernischt,Red
cabernet gerniseht,Red
cabernet grande,Red
cabernet grosso,Red
cabernet italico,Red
cabernet shelongzhu,Red
carbonet,Red
carbouet,Red
caremenelle,Red
carmenea,Red
carmenegre,Red
carmenelle,Red
carmeneyre,Red
gran vidyur,Red
grand carmenet,Red
grand vidure,Red
grande vidure,Red
grande vuidure,Red
grosse vidure,Red
kaberne,Red
kaberne karmener,Red
kabernel,Red
karmene,Red
karmensel,Red
uva francesca,Red
carmine,Red
carminoir,Red
carnelian,Red
carrasquin,Red
carrasco,Red
carrasco negro,Red
casavecchia,Red
cascade,Red
