Name,Type
geisenheim,Red
amaral,Red
amaral preto,Red
azal,Red
azal preto,Red
azal tinto,Red
azar,Red
cachon,Red
cainho bravo,Red
cainho miudo,Red
caino,Red
caino bravo,Red
caino tinto,Red
cainzinho,Red
sousao,Red
sousao galego,Red
ancellotta,Red
andré,Red
andrea,Red
semenac,Red
antey magarachsky,Red
antei magarachskii,Red
antei,Red
antei magaracha,Red
antei magaratchsky,Red
antej magaratscha,Red
antey magarachskii,Red
magarach,Red
aramon noir,Red
amor nao me deixes,Red
aramon,Red
aramon chernyi,Red
aramon crni,Red
aramon negro,Red
aramon noire,Red
aramon pignat,Red
aramon pigne,Red
aramon rozovyi,Red
aramon saint joseph,Red
aramone,Red
aramonen,Red
aramont,Red
arramant,Red
arramont,Red
burchardt's prince,Red
burckarti prinz,Red
burkhardt,Red
eramoul,Red
eromoul,Red
gros bouteillan,Red
kek aramon,Red
pisse vin,Red
plant riche,Red
rabalaire,Red
ramonen,Red
reballaire,Red
reballayre,Red
revalaire,Red
revellaire,Red
ugni neru,Red
ugni nevu,Red
ugni noir,Red
uni negre,Red
uni noir,Red
areni,Red
areni sev,Red
areni chemyl,Red
areni chernyi,Red
areni noir,Red
areni tcheurny,Red
areny,Red
areny tcherny,Red
lyalai,Red
malagi,Red
malagui,Red
malahi noir,Red
malai sev,Red
malat,Red
malayi,Red
memeyi,Red
mialai,Red
milahi,Red
milai chernyi,Red
milai noir,Red
milaj sev,Red
milakhi,Red
movouz,Red
movuz,Red
myalai,Red
myalan,Red
ordoutchi sev,Red
ordoutzi sev,Red
ordutsi sev,Red
orduzi sev,Red
ourdoussi,Red
ourdusi,Red
ourza sev,Red
sev areni,Red
sev malahi,Red
urdusi,Red
ursa sev,Red
urza sev,Red
usza sev,Red
argaman,Red
argant,Red
argan,Red
blaue gansfuesser,Red
blauer gansfuesser,Red
bockshorn,Red
buchser,Red
erlenbacher,Red
espagnol,Red
gaensefuessler,Red
gaensfuessel,Red
gaensfuesser,Red
gaensfuesser blau,Red
gaensfuessler,Red
gansfyuser,Red
gros margilien espagnol,Red
gros margillien,Red
gros margillien arbois,Red
grossrote,Red
margilien,Red
margillien,Red
margillin,Red
rouillot,Red
schwarzer erlenbacher,Red
tokai chernyi,Red
tokai rannii,Red
arinarnoa,Red
arinto de bucelas,Red
arintho,Red
arinto cachudo,Red
arinto cercial,Red
arinto d'anadia,Red
arinto galego,Red
asal espanhol,Red
asal galego,Red
assario branco,Red
azal espanhol,Red
azal galego,Red
boal cachudo,Red
branco espanhol,Red
cerceal,Red
chapeludo,Red
malvasia fina,Red
pe de perdiz branco,Red
pederna,Red
pedernao,Red
pedrena,Red
terrantez da terceira,Red
val de arintho,Red
arnsburger,Red
arns burguer,Red
arnsburguer,Red
geisenheim,Red
arrouya,Red
arhuya,Red
aroyat,Red
arrouyat,Red
arroya,Red
arruya,Red
dourec noir,Red
eremachaoua,Red
erematxahua,Red
rouja,Red
vieux rouge,Red
ashughaji,Red
achougage,Red
atpizh,Red
atpyuzh,Red
atriuzh,Red
atvige,Red
atvizh,Red
ashugazh,Red
aspiran bouschet,Red
aspiran bouchet,Red
aspiran bouson,Red
grand noir de laques,Red
spigamonti,Red
aspiran noir,Red
aspiran,Red
aspiran chernyi,Red
aspiran csornüj,Red
aspirant,Red
epiran,Red
espiran,Red
peyral,Red
peyrar,Red
piran,Red
ribeyrenc,Red
rivairenc,Red
riverain,Red
riveyrenc,Red
riveyrene,Red
spiran,Red
verdai,Red
verdal,Red
verdal noir,Red
assario,Red
assario negro,Red
asuretuli shavi,Red
assouretouli,Red
assouretouli chavi,Red
asuretuli,Red
asuretuli sciavi,Red
chalbtchbaru,Red
chalbtraouvan,Red
chalchvarce,Red
chale,Red
chaltraouben,Red
sal uezuem,Red
schalltraube,Red
shadi traube,Red
shal,Red
shal izyum,Red
shal uzum,Red
shal'shvarsh,Red
shal'shvarts,Red
shala,Red
shalsharz,Red
shalshvari,Red
shalshvarts,Red
shaltraube,Red
shaltrauben,Red
aubun,Red
avanà,Red
alvana di susa,Red
avana,Red
avana de susa,Red
avana di susa,Red
avana nero,Red
avanale,Red
avanas,Red
avanato,Red
avane,Red
avena,Red
avenai,Red
bibou,Red
davana,Red
guibou,Red
havana,Red
havana,Red
hibou,Red
hibou noir,Red
hivernais,Red
hyvernais,Red
luisant,Red
palofrais,Red
polafrais,Red
polofrais,Red
pometre,Red
promeche,Red
promere,Red
